,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_id,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,acousticness,playlist_subgenre
117,0.913,115.728,0.574,rock,-4.793,0.156,0.423,4,0.133,84,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,1979-07-27,0.00158,0,6,208400,0.061,classic
118,0.495,124.936,0.532,rock,-6.662,0.0754,0.308,4,0.0343,79,4U45aEWtQhrm8A5mxPaFZ7,Vienna,1977-01-01,0.0,1,10,214240,0.659,classic
119,0.875,75.009,0.284,rock,-6.069,0.402,0.595,4,0.0422,73,1L94M3KIu7QluZe63g64rv,Alive,1991-08-27,0.000461,0,11,340907,0.00752,classic
120,0.737,103.867,0.662,rock,-9.54,0.119,0.744,4,0.0296,69,6pPWRBubXOBAHnjl5ZIujB,The Best,1989-09-13,0.0191,1,0,329800,0.108,classic
121,0.936,91.577,0.666,rock,-9.919,0.153,0.776,4,0.0476,72,0uppYCG86ajpV2hSR3dJJ0,Give It Away,1991-09-24,0.086,1,7,282907,0.00244,classic
122,0.432,94.605,0.475,rock,-7.844,0.161,0.648,4,0.0302,79,6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),1997-10-14,0.0,1,7,153467,0.183,classic
123,0.549,176.941,0.516,rock,-13.741,0.184,0.907,4,0.0373,73,4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,1984-11-19,0.00572,1,6,288733,0.501,classic
124,0.751,89.839,0.421,rock,-9.584,0.17,0.789,4,0.0472,72,6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),1967-01-04,0.0,1,9,145867,0.2,classic
125,0.938,168.131,0.324,rock,-7.332,0.0961,0.543,4,0.102,71,0Puj4YlTm6xNzDDADXHMI9,Sabotage,1994-05-23,0.0321,0,6,178440,0.032,classic
126,0.953,84.989,0.267,rock,-4.899,0.283,0.568,4,0.096,72,0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,1987-08-03,0.0,0,1,267307,0.00211,classic
127,0.919,135.997,0.465,rock,-4.025,0.262,0.537,4,0.0408,73,5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,1999-11-02,2.07e-05,1,4,235293,1.83e-05,classic
128,0.58,127.402,0.741,rock,-9.05,0.212,0.944,4,0.0304,70,0vOkmmJEtjuFZDzrQSFzEE,Hit Me With Your Best Shot,1980-08-05,3.61e-05,1,4,171267,0.117,classic
129,0.72,121.864,0.404,rock,-9.18,0.0466,0.475,4,0.0623,73,6GtX0jaNL8IjVQfrDBx81z,Bullet With Butterfly Wings - Remastered 2012,1995-01-01,0.836,0,10,258467,5.59e-05,classic
130,0.927,170.814,0.215,rock,-7.327,0.126,0.49,4,0.0452,72,6qLEOZvf5gI7kWE63JE7p3,Interstate Love Song - 2019 Remaster,1994-06-07,0.00661,1,9,194853,0.000273,classic
131,0.801,133.769,0.651,rock,-7.34,0.0825,0.776,4,0.0514,70,5jzma6gCzYtKB1DbEwFZKH,London Calling - Remastered,1979-01-01,0.0,1,0,200480,0.123,classic
132,0.262,122.861,0.481,rock,-15.73,0.832,0.375,4,0.0414,75,6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,1975-09-12,0.0114,1,7,334744,0.735,classic
133,0.449,84.383,0.623,rock,-13.333,0.0613,0.573,4,0.0253,75,5tVA6TkbaAH9QMITTQRrNv,Free Fallin',1989-01-01,0.0,1,5,256000,0.212,classic
134,0.476,148.117,0.389,rock,-9.342,0.255,0.566,4,0.0316,73,6txWz9UapYHVxEd7dDIHXT,No Rain,1992-01-01,5.09e-05,1,9,217107,0.619,classic
